編號,英文,中文
1,able,(adj.4)能;有能力的
2,above,"(adj.5)上文的,前述的"
3,adult,(adj.5)成年的;成熟的;色情的
4,afraid,(adj.6)害怕
5,all,(adj.3)所有的;全部
6,alone,(adj.5)單獨的;孤單的
7,angry,(adj.5)生氣的
8,another,(adj.7)另一個
9,any,(adj.3)任何的
10,back,(adj.4)後面的;拖欠的;過去的
11,bad,(adj.3)壞的
12,basic,(adj.5)基本的
13,beautiful,(adj.9)漂亮的
14,best,(adj.4)最好的;最熟練的;最適當的
15,better,(adj.6)較佳的;更好的;更適當的
16,big,(adj.3)大的
17,black,(adj.5)黑色的
18,blue,(adj.4)藍色的
19,born,(adj.4)出生的;誕生的
20,both,(adj.4)兩者
21,bottom,"(adj.6)最低的;最後的,最下的"
22,brave,(adj.5)勇敢的
23,bright,(adj.6)光亮的
24,brown,(adj.5)褐色的;棕色的
25,busy,(adj.4)忙碌的
26,careful,(adj.7)小心的
27,certain,(adj.7)肯定的
28,chief,(adj.5)為首的;主要的
29,clean,(adj.5)乾淨的
30,clear,(adj.5)清楚的;晴朗的
31,close,(adj.5)近的;密切的
32,cold,(adj.4)寒冷的
33,common,(adj.6)常見的
34,cool,(adj.4)涼快的;很棒的;酷
35,correct,(adj.7)正確的
36,cute,(adj.4)可愛的
37,dark,(adj.4)黑暗的
38,dead,(adj.4)死的
39,dear,(adj.4)親愛的
40,deep,(adj.4)深的
41,different,(adj.9)不同的
42,difficult,(adj.9)困難的
43,direct,(adj.6)直接的
44,dirty,(adj.5)骯髒的
45,down,"(adj.4)情緒低落,消沈;(分期付款的)第一期的"
46,downstairs,(adj.10)樓下的
47,dry,(adj.3)乾的
48,each,(adj.4)每個
49,early,(adj.5)早的;提早的
50,east,(adj.4)東方的
51,easy,(adj.4)容易的
52,eight,(adj.5)八的
53,eighteen,(adj.8)十八的
54,eighty,(adj.6)八十的
55,either,(adj.6)兩者之一
56,eleven,(adj.6)十一的
57,English,(adj.7)英格蘭的;英國的;英國人的;英語的
58,enough,(adj.6)足夠的
59,equal,(adj.5)相等的; 平等的
60,even,(adj.4)均勻的;偶數的;平手的
61,every,(adj.5)每一個的
62,false,(adj.5)假的
63,far,(adj.3)遠的
64,fast,(adj.4)快的
65,fat,(adj.3)胖的
66,few,(adj.3)少數的;一些
67,fifteen,(adj.7)十五的
68,fifty,(adj.5)五十的
69,final,(adj.5)最終的
70,fine,(adj.4)好的
71,first,(adj.5)第一的
72,five,(adj.4)五的
73,foreign,"(adj.7)外國的,陌生的,外來的"
74,forty,(adj.5)四十的
75,four,(adj.4)四的
76,fourteen,(adj.8)十四的
77,free,(adj.4)空閒的;自由的;免費的
78,fresh,(adj.5)新鮮的
79,front,(adj.5)前面的;正面的
80,full,(adj.4)飽的;滿的
81,funny,(adj.5)可笑的;滑稽的
82,general,(adj.7)普遍的
83,glad,(adj.4)高興的
84,gold,(adj.4)金製的
85,good,(adj.4)好的
86,grand,(adj.5)雄偉的;總的
87,gray,(adj.4)灰色的
88,great,(adj.5)很棒;大的
89,green,(adj.5)綠色的
90,grey,(adj.4)灰色的
91,half,"(adj.4)一半的,二分之一的;不完整的"
92,happy,(adj.5)快樂的
93,hard,(adj.4)硬的;難的
94,heavy,(adj.5)重的
95,high,(adj.4)高的
96,home,(adj.4)家庭的;國內的
97,hot,(adj.3)熱的
98,huge,(adj.4)巨大的
99,human,(adj.5)人類的
100,hundred,(adj.7)一百的
101,hungry,(adj.6)飢餓的
102,important,(adj.9)重要的
103,in,(adj.2)在裡面的
104,inside,"(adj.6)裡面的,內側的;內幕的"
105,iron,(adj.4)鐵的;剛強的;殘酷的
